User_1,Mentions,Conative,User_2
claudiafeijosampaio,cbsnews,"('ungrateful', 'know')",snowdens_dms
claudiafeijosampaio,cbsnews,"('know', 'know')",snowdens_dms
gemeas_pipinella,marinhaoficial,"('know', 'would')",snowdens_dms
blog_do_almeida,michellebolsonaro,"('would', 'cias')",snowdens_dms
blog_do_almeida,michellebolsonaro,"('cias', 'purview')",snowdens_dms
blog_do_almeida,michellebolsonaro,"('purview', 'pic')",snowdens_dms
luisantoniopires,_arthur_naga,"('pic', 'really')",snowdens_dms
pelaliberdaderj,_conservadoresoficial,"('really', 'good')",snowdens_dms
pelaliberdaderj,_conservadoresoficial,"('tdo', 'story')",dr.renatoneri
tarci_paixao,_drezahefziba,"('story', 'links')",dr.renatoneri
rrobertaleocadio,_elicaslima_,"('links', 'drags')",dr.renatoneri
nil.silvaoficial,10cipm.pmms,"('drags', 'side')",dr.renatoneri
legiao.patriota,10rm_exercito,"('side', 'feed')",dr.renatoneri
legiao.patriota,10rm_exercito,"('feed', 'strange')",dr.renatoneri
legiao.patriota,10rm_exercito,"('strange', 'leaving')",dr.renatoneri
legiao.patriota,10rm_exercito,"('leaving', 'office')",dr.renatoneri
nil.silvaoficial,11cicomcoroado,"('office', 'hope')",dr.renatoneri
ju_slobodticov,11rcmec_exercito,"('hope', 'alive')",dr.renatoneri
nil.silvaoficial,15cicom,"('alive', 'share')",dr.renatoneri
nil.silvaoficial,16cicom.pmam,"('share', 'today')",dr.renatoneri
areevanessa,18bdainfpan_exercito,"('today', 'make')",dr.renatoneri
areevanessa,18bdainfpan_exercito,"('make', 'new')",dr.renatoneri
areevanessa,18bdainfpan_exercito,"('new', 'september')",dr.renatoneri
clayton_cac,1bertocostta,"('september', 'th')",dr.renatoneri
nil.silvaoficial,1bis_exercitobrasileiro,"('th', 'throughout')",dr.renatoneri
prudentiajuris,20bib_,"('throughout', 'brazil')",dr.renatoneri
milaborbamkt,25bc_exercito,"('worldwide', 'conscious')",flaviaalves_ss
freedompiaui_br,25bc_exercito,"('conscious', 'brazilians')",flaviaalves_ss
freedompiaui_br,25bc_exercito,"('brazilians', 'manifest')",flaviaalves_ss
piauiense300,25bc_exercito,"('manifest', 'seek')",flaviaalves_ss
freedompiaui_br,25bc_exercito,"('seek', 'freedom')",flaviaalves_ss
freedompiaui_br,25bc_exercito,"('freedom', 'expression')",flaviaalves_ss
freedompiaui_br,25bc_exercito,"('expression', 'equality')",flaviaalves_ss
dandysuat,28gac_exercito,"('equality', 'brazilian')",flaviaalves_ss
nil.silvaoficial,2cicompmam,"('brazilian', 'constitution')",flaviaalves_ss
prudentiajuris,2vicetjpr,"('constitution', 'fulfilled')",flaviaalves_ss
mi_bravin_de_magalhaes,38bi_exercito,"('fulfilled', 'god')",flaviaalves_ss
prudentiajuris,5divisao_exercito,"('god', 'saves')",flaviaalves_ss
prudentiajuris,5divisao_exercito,"('saves', 'nation')",flaviaalves_ss
prudentiajuris,5gacap_exercito,"('nation', 'constitution')",flaviaalves_ss
prudentiajuris,5rm_exercito,"('one', 'decree')",contareservadr.renato
prudentiajuris,5rm_exercito,"('decree', 'today')",contareservadr.renato
prudentiajuris,5rm_exercito,"('today', 'image')",contareservadr.renato
hurymany,7nn_tv,"('image', 'supreme')",contareservadr.renato
gemeas_pipinella,7nn_tv,"('supreme', 'court')",contareservadr.renato
celinanantes,7nn_tv,"('court', 'seems')",contareservadr.renato
tay.pellegrini,7NN_TV,"('seems', 'understand')",contareservadr.renato
tay.pellegrini,7NN_TV,"('understand', 'go')",contareservadr.renato
maedenerdepet,7nn_tv,"('go', 'intimidate')",contareservadr.renato
tay.pellegrini,7NNOTICIAS,"('intimidate', 'cause')",contareservadr.renato
tay.pellegrini,7NNOTICIAS,"('cause', 'fear')",contareservadr.renato
maedenerdepet,7nnoticias,"('fear', 'image')",contareservadr.renato
nil.silvaoficial,9cicompmam,"('image', 'sixth')",contareservadr.renato
thierliramos,a,"('sixth', 'november')",contareservadr.renato
jeobrasil,a3noticias,"('november', 'generating')",contareservadr.renato
prjeomendes,a3noticias,"('generating', 'structure')",contareservadr.renato
kristiano_jotta,abajuc,"('structure', 'mobilization')",contareservadr.renato
kristiano_jotta,abajuc,"('mobilization', 'ffaa')",contareservadr.renato
kristiano_jotta,abajuc,"('remember', 'lula')",contareservadr.renato
kristiano_jotta,abajuc,"('lula', 'said')",contareservadr.renato
helderviniscius,ABC,"('said', 'im')",contareservadr.renato
helderviniscius,ABC,"('im', 'favor')",contareservadr.renato
brasildeluto_censurado,ABC,"('favor', 'abortion')",contareservadr.renato
brasildeluto_censurado,ABC,"('abortion', 'campaign')",contareservadr.renato
brasildeluto_censurado,ABC,"('campaign', 'courseand')",contareservadr.renato
brasildeluto_censurado,ABC,"('courseand', 'enough')",contareservadr.renato
claudiagomes3532507,ABC,"('enough', 'naive')",contareservadr.renato
alexandre_allright,abc_au,"('naive', 'christian')",contareservadr.renato
anapaulagoldbach,abc7chicago,"('christian', 'believedso')",contareservadr.renato
bethcharello,abc7chicago,"('believedso', 'present')",contareservadr.renato
duasxicarasdeverdade,abc7chicago,"('present', 'person')",contareservadr.renato
duasxicarasdeverdade,abc7chicago,"('person', 'quoted')",contareservadr.renato
bethcharello,abc7chicago,"('quoted', 'front')",contareservadr.renato
claudiagomes3532507,ABC7News,"('front', 'womens')",contareservadr.renato
claudiagomes3532507,abc7newsbayarea,"('womens', 'folderdebora')",contareservadr.renato
brasil_news_oficial,abc7ny,"('folderdebora', 'dinizpass')",contareservadr.renato
brasil_news_oficial,abc7ny,"('dinizpass', 'images')",contareservadr.renato
patricia.tavares.9862,abc7ny,"('images', 'sideif')",contareservadr.renato
brasil_news_oficial,abc7ny,"('sideif', 'l')",contareservadr.renato
brasil_news_oficial,abc7ny,"('l', 'believing')",contareservadr.renato
patriotabrasil26,abc7ny,"('believing', 'lulas')",contareservadr.renato
nilton_abreu,abc7ny,"('lulas', 'lie')",contareservadr.renato
anambarrosoliveira,abc7ny,"('lie', 'dont')",contareservadr.renato
opoderdeumpovo,abc7ny,"('dont', 'forget')",contareservadr.renato
nilton_abreu,abc7ny,"('forget', 'looking')",contareservadr.renato
altos67_,abc7ny,"('looking', 'images')",contareservadr.renato
nilton_abreu,abc7ny,"('images', 'take')",contareservadr.renato
nilton_abreu,abc7ny,"('take', 'clown')",contareservadr.renato
divirtase.curitiba,abc7ny,"('clown', 'nose')",contareservadr.renato
divirtase.curitiba,abc7ny,"('one', 'decree')",dr.renatoneri
adribertoo,abc7ny,"('decree', 'today')",dr.renatoneri
nilton_abreu,abc7ny,"('today', 'image')",dr.renatoneri
nilton_abreu,abc7ny,"('image', 'supreme')",dr.renatoneri
nilton_abreu,abc7ny,"('supreme', 'court')",dr.renatoneri
geovaniandradeee,abc7ny,"('court', 'seems')",dr.renatoneri
altos67_,abc7ny,"('seems', 'understand')",dr.renatoneri
divirtase.curitiba,abc7ny,"('understand', 'go')",dr.renatoneri
vempraruasc,abc7ny,"('go', 'intimidate')",dr.renatoneri
kelly_cypriano,abc7ny,"('intimidate', 'cause')",dr.renatoneri
kelly_cypriano,abc7ny,"('cause', 'fear')",dr.renatoneri
andregauchos,abc7ny,"('fear', 'image')",dr.renatoneri
sergio_brucutu,abc7ny,"('image', 'sixth')",dr.renatoneri
blog_do_almeida,abc7ny,"('sixth', 'november')",dr.renatoneri
blog_do_almeida,abc7ny,"('november', 'generating')",dr.renatoneri
virliz,abc7ny,"('generating', 'structure')",dr.renatoneri
blog_do_almeida,abc7ny,"('structure', 'mobilization')",dr.renatoneri
blog_do_almeida,abc7ny,"('mobilization', 'ffaa')",dr.renatoneri
malubathista,abc7ny,"('guessed', 'approved')",dr.renatoneri
divirtase.curitiba,abc7ny,"('approved', 'lulas')",dr.renatoneri
divirtase.curitiba,abc7ny,"('lulas', 'pec')",dr.renatoneri
divirtase.curitiba,abc7ny,"('pec', 'st')",dr.renatoneri
blog_do_almeida,abc7ny,"('st', 'shift')",dr.renatoneri
divirtase.curitiba,abc7ny,"('shift', 'house')",dr.renatoneri
divirtase.curitiba,abc7ny,"('house', 'look')",dr.renatoneri
divirtase.curitiba,abc7ny,"('look', 'voted')",dr.renatoneri
divirtase.curitiba,abc7ny,"('voted', 'toosalary')",dr.renatoneri
divirtase.curitiba,abc7ny,"('toosalary', 'increase')",dr.renatoneri
divirtase.curitiba,abc7ny,"('increase', 'ah')",dr.renatoneri
divirtase.curitiba,abc7ny,"('ah', 'today')",dr.renatoneri
divirtase.curitiba,abc7ny,"('today', 'want')",dr.renatoneri
divirtase.curitiba,abc7ny,"('want', 'increase')",dr.renatoneri
mrbrpat,ABC7NY,"('increase', 'salary')",dr.renatoneri
mrbrpat,ABC7NY,"('salary', 'lets')",dr.renatoneri
divirtase.curitiba,abc7ny,"('lets', 'goand')",dr.renatoneri
nataschabinsely,abc7ny,"('goand', 'guess')",dr.renatoneri
vempraruasc,abc7ny,"('guess', 'pay')",dr.renatoneri
pela_familia_brasileira,abc7ny,"('pay', 'doule')",dr.renatoneri
nataschabinsely,abc7ny,"('doule', 'found')",dr.renatoneri
divirtase.curitiba,abc7ny,"('found', 'clown')",dr.renatoneri
vempraruasc,abc7ny,"('clown', 'emoji')",dr.renatoneri
vempraruasc,abc7ny,"('emoji', 'top')",dr.renatoneri
divirtase.curitiba,abc7ny,"('top', 'red')",dr.renatoneri
mrbrpat,ABC7NY,"('red', 'hair')",dr.renatoneri
divirtase.curitiba,abc7ny,"('hair', 'ps')",dr.renatoneri
vempraruasc,abc7ny,"('ps', 'made')",dr.renatoneri
divirtase.curitiba,abc7ny,"('made', 'increase')",dr.renatoneri
antonio_bezerrasoares,abc7ny,"('increase', 'lula')",dr.renatoneri
luiscostakrieger,abc7ny,"('lula', 'also')",dr.renatoneri
serrahenrique2,ABC7NY,"('also', 'next')",dr.renatoneri
divirtase.curitiba,abc7ny,"('next', 'year')",dr.renatoneri
antonio_bezerrasoares,abc7ny,"('year', 'tell')",dr.renatoneri
mrbrpat,ABC7NY,"('tell', 'receive')",dr.renatoneri
fiscaisdopoder,abc7ny,"('receive', 'increase')",dr.renatoneri
tativieirasaraiva_montanha,abc7ny,"('know', 'meansi')",dr.renatoneri.reserva
