User_1,Mentions,Conative,User_2
cilamonteirorj,foxnews,"('today', 'day')",aduanacarneiro
maedenerdepet,foxtv,"('day', 'go')",aduanacarneiro
maedenerdepet,foxtv,"('go', 'street')",aduanacarneiro
maedenerdepet,foxtv,"('brazil', 'screams')",sergiotavares_canal2
maedenerdepet,foxtv,"('screams', 'sos')",sergiotavares_canal2
maedenerdepet,foxtv,"('sos', 'armed')",sergiotavares_canal2
telesedeise,_bbclondon_,"('armed', 'forces')",sergiotavares_canal2
fernando.paessilva.5,_brasil_liberdade_,"('forces', 'days')",sergiotavares_canal2
veteranoraiz,_caminhoesbrasileiros_,"('days', 'protests')",sergiotavares_canal2
cientista_viviane_anastacio,_generalfreiregomes,"('protests', 'visit')",sergiotavares_canal2
renato.ribeirodealmeida,_marinasilva_,"('visit', 'website')",sergiotavares_canal2
legiao.patriota,10rm_exercito,"('live', 'go')",dr.renatoneri
rafabelha,16bimtzexercito,"('go', 'brazili')",dr.renatoneri
2026_e_logo_ali,2026_e_logo_ali,"('brazili', 'believe')",dr.renatoneri
mateuslrporto,24bis_exercito,"('god', 'god')",dr.renatoneri
mateuslrporto,24bis_exercito,"('god', 'miracles')",dr.renatoneri
mateuslrporto,24bis_exercito,"('miracles', 'god')",dr.renatoneri
mateuslrporto,24bis_exercito,"('god', 'promises')",dr.renatoneri
mateuslrporto,24bis_exercito,"('promises', 'way')",dr.renatoneri
freedompiaui_br,25bc_exercito,"('way', 'desert')",dr.renatoneri
freedompiaui_br,25bc_exercito,"('desert', 'light')",dr.renatoneri
piauiense300,25bc_exercito,"('light', 'darkness')",dr.renatoneri
piauiense300,25bc_exercito,"('darkness', 'god')",dr.renatoneri
piauiense300,25bc_exercito,"('god', 'military')",dr.renatoneri
piauiense300,25bc_exercito,"('military', 'wear')",dr.renatoneri
piauiense300,25bc_exercito,"('wear', 'toga')",dr.renatoneri
freedompiaui_br,25bc_exercito,"('toga', 'political')",dr.renatoneri
sulguria,360tvnews),"('political', 'nomination')",dr.renatoneri
exercito.patriota,38bi_exercito,"('nomination', 'wear')",dr.renatoneri
kelly_barbozaa,41bimtz_exercito,"('wear', 'uniform')",dr.renatoneri
mateuslrporto,50bis_exercitooficial,"('uniform', 'defend')",dr.renatoneri
mateuslrporto,50bis_exercitooficial,"('defend', 'nation')",dr.renatoneri
mateuslrporto,50bis_exercitooficial,"('nation', 'remember')",dr.renatoneri
mateuslrporto,50bis_exercitooficial,"('remember', 'sing')",dr.renatoneri
erick_patrick1994,59bimtz_exercito_oficial,"('sing', 'brazilian')",dr.renatoneri
direitacrz,5bil_exercito,"('brazilian', 'flag')",dr.renatoneri
prudentiajuris,5divisao_exercito,"('flag', 'nobody')",dr.renatoneri
prudentiajuris,5rm_exercito,"('nobody', 'stain')",dr.renatoneri
vilhenasendovilhenaofc,7bpmoficial,"('belm', 'mock')",dr.renatoneri
maedenerdepet,7nn_tv,"('mock', 'today')",dr.renatoneri
maedenerdepet,7nn_tv,"('today', 'tomorrow')",dr.renatoneri
maedenerdepet,7nn_tv,"('tomorrow', 'asking')",dr.renatoneri
maedenerdepet,7nn_tv,"('asking', 'contain')",dr.renatoneri
maedenerdepet,7nn_tv,"('contain', 'go')",dr.renatoneri
renatatempo,7nn_tv,"('go', 'dojust')",dr.renatoneri
maedenerdepet,7nnoticias,"('dojust', 'wait')",dr.renatoneri
maedenerdepet,7nnoticias,"('demonstrators', 'evening')",addyadds
maedenerdepet,7nnoticias,"('evening', 'brasilia')",addyadds
maedenerdepet,7nnoticias,"('brasilia', 'brazil')",addyadds
maedenerdepet,7nnoticias,"('brazil', 'reaction')",addyadds
liberdadebrasil77,7nnoticias,"('reaction', 'arrest')",addyadds
liberdadebrasil77,7nnoticias,"('arrest', 'xavante')",addyadds
amandamayaroteiro,7NNTV,"('xavante', 'tribes')",addyadds
renatatempo,7NNTV,"('tribes', 'chieftain')",addyadds
amandamayaroteiro,7NNTV,"('chieftain', 'sources')",addyadds
a_ademar_a,a_ademar_a,"('sources', 'ground')",addyadds
a_ademar_a,a_ademar_a,"('ground', 'state')",addyadds
a_ademar_a,a_ademar_a,"('state', 'leftist')",addyadds
raphaelpw35,Â£iC0,"('leftist', 'infiltrators')",addyadds
vanessa_tianessa,"â€,","('infiltrators', 'used')",addyadds
raphaelpw35,Ã‡,"('used', 'indigenous')",addyadds
prjeomendes,a3noticias,"('indigenous', 'people')",addyadds
danielalimaverde,ABC,"('people', 'trigger')",addyadds
danielalimaverde,ABC,"('trigger', 'order')",addyadds
danielalimaverde,ABC,"('order', 'initiate')",addyadds
angela.lucchesi.37,ABC,"('initiate', 'false')",addyadds
adrianafelipebrick,ABC,"('false', 'flag')",addyadds
deodatoaugusto,ABC,"('flag', 'operation')",addyadds
salvador.rafa,abc7amarillo,"('live', 'saved')",dr.renatoneri
salvador.rafa,abc7amarillo,"('saved', 'brazil')",dr.renatoneri
gisellecolete,abc7chicago,"('brazil', 'alvorada')",dr.renatoneri
salvador.rafa,abc7chicago,"('doesnt', 'even')",dr.renatoneri
salvador.rafa,abc7chicago,"('even', 'nail')",dr.renatoneri
salvador.rafa,abc7la,"('people', 'ask')",sergiotavares_canal2
salvador.rafa,abc7la,"('ask', 'help')",sergiotavares_canal2
wanisatrova,abc7newsbayarea,"('help', 'world')",sergiotavares_canal2
maedenerdepet,abc7ny,"('world', 'terrorism')",sergiotavares_canal2
maedenerdepet,abc7ny,"('terrorism', 'supreme')",sergiotavares_canal2
maedenerdepet,abc7ny,"('supreme', 'courtplease')",sergiotavares_canal2
maedenerdepet,abc7ny,"('courtplease', 'share')",sergiotavares_canal2
maedenerdepet,abc7ny,"('share', 'nets')",sergiotavares_canal2
maedenerdepet,abc7ny,"('nets', 'tvs')",sergiotavares_canal2
maedenerdepet,abc7ny,"('tvs', 'hide')",sergiotavares_canal2
maedenerdepet,abc7ny,"('hide', 'show')",sergiotavares_canal2
maedenerdepet,abc7ny,"('moment', 'give')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('give', 'resist')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('resist', 'today')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('today', 'never')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('never', 'stopped')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('stopped', 'believing')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('believing', 'blind')",dr.renatoneri
ronaldopatriotabrasil,ABC7NY,"('blind', 'optimism')",dr.renatoneri
