User_1,Mentions,Conative,User_2
guilhermesozzy,abc7ny,"('center', 'brazilian')",fabio_luporini
grazianoandrade,abc7ny,"('brazilian', 'political')",fabio_luporini
waltermelechcocarvalho,abc7ny,"('political', 'decisions')",fabio_luporini
waltermelechcocarvalho,abc7ny,"('decisions', 'center')",fabio_luporini
waltermelechcocarvalho,abc7ny,"('center', 'republican')",fabio_luporini
guilhermesozzy,abcnews,"('republican', 'controversies')",fabio_luporini
marirbarretoadvogada,adireitoria,"('controversies', 'center')",fabio_luporini
marirbarretoadv,adireitoria,"('center', 'democracy')",fabio_luporini
guilhermesozzy,AeronÃ¡utica,"('democracy', 'pramspoderes')",fabio_luporini
silviolimaj,allandossantos17,"('want', 'intervention')",logandiazgraton
silviolimaj,allansantosvoltou,"('intervention', 'god')",logandiazgraton
laviniasirianeofc,anacarolinaneres.neres,"('god', 'homeland')",logandiazgraton
coldjuliax_,anacristinarochabertoletti,"('homeland', 'family')",logandiazgraton
karinagabriliferes,augustonunescolunista,"('family', 'freedom')",logandiazgraton
daivendas_lojavirtual,aymeluana_,"('flag', 'never')",naelidalpiaz
guilhermesozzy,bbclondon,"('never', 'red')",naelidalpiaz
grazianoandrade,bbclondon,"('manifestation', 'intervention')",solange_valadao
waltermelechcocarvalho,bbclondon,"('lets', 'go')",fcopereirapxoficial
waltermelechcocarvalho,bbclondon,"('go', 'people')",fcopereirapxoficial
waltermelechcocarvalho,bbclondon,"('people', 'lets')",fcopereirapxoficial
helenalimalana,bcnews_,"('lets', 'fight')",fcopereirapxoficial
_fahmattos,beazwc0,"('fight', 'fraud')",fcopereirapxoficial
karinagabriliferes,boletimcoppolla,"('fraud', 'elections')",fcopereirapxoficial
karinagabriliferes,bolsonarosp,"('elections', 'say')",fcopereirapxoficial
eleniaparecidacremasco,braganetto_gen,"('say', 'corrupt')",fcopereirapxoficial
paty__amorim,brasil.amparosp,"('corrupt', 'system')",fcopereirapxoficial
nilda_barroso_portela,brasilparalelo,"('system', 'fraud')",fcopereirapxoficial
legionarybr,brasilzaocombolsonaro,"('fraud', 'yes')",fcopereirapxoficial
daivendas_lojavirtual,cairosalim,"('yes', 'wake')",fcopereirapxoficial
direitacampinagrande2022,campinagrandecombolsonaro,"('wake', 'brazil')",fcopereirapxoficial
carolinaspierchocolatier,carlacecato,"('brazil', 'ebrasil')",fcopereirapxoficial
carolinaspierchocolatier,carlacecato,"('ebrasil', 'fotheusofogealuta')",fcopereirapxoficial
karinagabriliferes,carmenbuenobueno,"('nation', 'serve')",jilliardramada
carolinaspierchocolatier,carolvereadora,"('serve', 'jesus')",jilliardramada
carolinaspierchocolatier,carolvereadora,"('jesus', 'governed')",jilliardramada
eleniaparecidacremasco,cavex_exercito,"('governed', 'corruption')",jilliardramada
guilhermesozzy,cbsnews,"('corruption', 'promiscuity')",jilliardramada
grazianoandrade,cbsnews,"('future', 'generations')",wesleyphelype
waltermelechcocarvalho,cbsnews,"('generations', 'fought')",wesleyphelype
waltermelechcocarvalho,cbsnews,"('fought', 'keep')",wesleyphelype
waltermelechcocarvalho,cbsnews,"('keep', 'fighting')",wesleyphelype
guilhermesozzy,cbstv,"('fighting', 'end')",wesleyphelype
