User_1,Mentions,Conative,User_2
mimosdeluxo_danessa,1gpte_exercito,"('brazilian', 'president')",dofinanceyourself
advocacia_pirutti,abc7ny,"('president', 'jair')",dofinanceyourself
jefani_dr.pet,abc7ny,"('jair', 'bolsonaros')",dofinanceyourself
advocacia_pirutti,abc7ny,"('bolsonaros', 'administration')",dofinanceyourself
alexpointdococomtb,adorrighello,"('administration', 'signaled')",dofinanceyourself
kaikeazevedo,alexandreceotto,"('signaled', 'willingness')",dofinanceyourself
alexpointdococomtb,alinepointdococo,"('willingness', 'hand')",dofinanceyourself
alexpointdococomtb,alinepointdococo,"('hand', 'power')",dofinanceyourself
alexpointdococomtb,andreadelainehnd,"('power', 'two')",dofinanceyourself
advocacia_pirutti,bbclondon,"('two', 'days')",dofinanceyourself
jefani_dr.pet,BBCLondon,"('days', 'nailbiting')",dofinanceyourself
advocacia_pirutti,bbclondon,"('nailbiting', 'election')",dofinanceyourself
advocacia_pirutti,bbcnews,"('election', 'loss')",dofinanceyourself
centraltonoticias,bolsonarosp,"('loss', 'leftist')",dofinanceyourself
centraltonoticias,bolsonarosp,"('leftist', 'luiz')",dofinanceyourself
kaikeazevedo,bolsonarosp,"('luiz', 'incio')",dofinanceyourself
eu.alicebenchimol,bolsonarosp,"('incio', 'lula')",dofinanceyourself
eu.alicebenchimol,bolsonarosp,"('lula', 'silva')",dofinanceyourself
armasdefesaesporte,braganetto_gen,"('silva', 'amid')",dofinanceyourself
armasdefesaesporte,braganetto_gen,"('amid', 'speculation')",dofinanceyourself
legionarybr,brasilzaocombolsonaro,"('speculation', 'farright')",dofinanceyourself
legionarybr,brasilzaocombolsonaro,"('farright', 'incumbent')",dofinanceyourself
legionarybr,brasilzaocombolsonaro,"('incumbent', 'might')",dofinanceyourself
legionarybr,brasilzaocombolsonaro,"('might', 'fight')",dofinanceyourself
legionarybr,brasilzaocombolsonaro,"('fight', 'result')",dofinanceyourself
marisilvamaia.adva,cacobarcello,"('result', 'bolsonaro')",dofinanceyourself
direitacampinagrande2022,campinagrandecombolsonaro,"('bolsonaro', 'reportedly')",dofinanceyourself
