User_1,Mentions,Conative,User_2
autocracia_nao,abc7ny,"('ransacking', 'brazils')",morningconsult
autocracia_nao,abc7ny,"('brazils', 'democratic')",morningconsult
blog_do_almeida,abc7ny,"('democratic', 'institutions')",morningconsult
josevam34,abc7ny,"('institutions', 'supporters')",morningconsult
angelodiosnel,abc7ny,"('supporters', 'former')",morningconsult
blog_do_almeida,abc7ny,"('former', 'president')",morningconsult
blog_do_almeida,abc7ny,"('president', 'jair')",morningconsult
claudinhachan,abc7ny,"('jair', 'bolsonaro')",morningconsult
100narrativas,abc7ny,"('bolsonaro', 'dominated')",morningconsult
blog_do_almeida,abc7ny,"('dominated', 'global')",morningconsult
leandrofrasaobassi,abc7ny,"('global', 'headlines')",morningconsult
blog_do_almeida,abc7ny,"('headlines', 'jan')",morningconsult
blog_do_almeida,abc7ny,"('jan', 'th')",morningconsult
blog_do_almeida,abc7ny,"('th', 'potential')",morningconsult
leandrofrasaobassi,abc7ny,"('potential', 'impact')",morningconsult
blog_do_almeida,abc7ny,"('impact', 'perceptions')",morningconsult
blog_do_almeida,abc7ny,"('perceptions', 'brazil')",morningconsult
blog_do_almeida,abc7ny,"('brazil', 'vary')",morningconsult
endireitemos,abc7ny,"('vary', 'broadly')",morningconsult
zewilliam.fotografo,abc7ny,"('broadly', 'country')",morningconsult
endireitemos,abc7ny,"('country', 'among')",morningconsult
ze._william,abc7ny,"('among', 'adults')",morningconsult
zewilliam.fotografo,abc7ny,"('adults', 'democracies')",morningconsult
endireitemos,abc7ny,"('democracies', 'across')",morningconsult
blog_do_almeida,abc7ny,"('across', 'world')",morningconsult
ze._william,abc7ny,"('world', 'favorable')",morningconsult
blog_do_almeida,abc7ny,"('favorable', 'views')",morningconsult
milaborbamkt,abc7ny,"('views', 'brazil')",morningconsult
abjd_go,abjd_go,"('brazil', 'declined')",morningconsult
abjd_go,abjdbr,"('declined', 'average')",morningconsult
abjd_go,abjdbr,"('average', 'points')",morningconsult
kristiano_jotta,abrajucoficial,"('points', 'following')",morningconsult
frases_gilsantos,administradormoderno,"('following', 'jan')",morningconsult
gugaccostan,ADnl,"('jan', 'th')",morningconsult
babadoluziania,advogadaluanadias,"('th', 'brasilia')",morningconsult
ericadps,ale_chianelli,"('brasilia', 'riots')",morningconsult
guilherme_podologo,Alexandre,"('riots', 'unfavorable')",morningconsult
axdmovimiento,alexiglesiasss,"('unfavorable', 'views')",morningconsult
junior_damasceno,americanas,"('views', 'rose')",morningconsult
frases_gilsantos,andersonferreira.22,"('rose', 'average')",morningconsult
andredalcasta,andredalcasta,"('average', 'points')",morningconsult
angelitamichele.adv,angelitamichele.adv,"('points', 'news')",morningconsult
gugaccostan,AntiProgreVzla,"('news', 'less')",morningconsult
gugaccostan,AntiProgreWorld,"('less', 'deleterious')",morningconsult
lichting98,archdaily,"('deleterious', 'effect')",morningconsult
gonzaga_wg,ASCnews,"('effect', 'among')",morningconsult
abjd_go,associacaoapd,"('among', 'latin')",morningconsult
oposicaoferrenha,augustonunescolunista,"('latin', 'american')",morningconsult
oposicaoferrenha,augustonunescolunista,"('american', 'countries')",morningconsult
oposicaoferrenha,augustonunescolunista,"('countries', 'favorable')",morningconsult
oposicaoferrenha,augustonunescolunista,"('favorable', 'views')",morningconsult
oposicaoferrenha,augustosnunesoficial,"('views', 'brazil')",morningconsult
castrocarol,aureliacerulei,"('brazil', 'actually')",morningconsult
gugaccostan,Avvenire_Nei,"('actually', 'increased')",morningconsult
gugaccostan,AZ_Augsburg,"('increased', 'among')",morningconsult
autocracia_nao,bbclondon,"('among', 'peruvians')",morningconsult
autocracia_nao,bbclondon,"('peruvians', 'among')",morningconsult
blog_do_almeida,bbclondon,"('among', 'chileans')",morningconsult
josevam34,bbclondon,"('chileans', 'unchanged')",morningconsult
angelodiosnel,bbclondon,"('unchanged', 'argentina')",morningconsult
blog_do_almeida,bbclondon,"('argentina', 'mexico')",morningconsult
blog_do_almeida,bbclondon,"('mexico', 'however')",morningconsult
claudinhachan,bbclondon,"('however', 'unfavorable')",morningconsult
100narrativas,bbclondon,"('unfavorable', 'views')",morningconsult
blog_do_almeida,bbclondon,"('views', 'rose')",morningconsult
leandrofrasaobassi,bbclondon,"('rose', 'average')",morningconsult
blog_do_almeida,bbclondon,"('average', 'points')",morningconsult
blog_do_almeida,bbclondon,"('points', 'among')",morningconsult
blog_do_almeida,bbclondon,"('among', 'latin')",morningconsult
leandrofrasaobassi,bbclondon,"('latin', 'americans')",morningconsult
blog_do_almeida,bbclondon,"('americans', 'countries')",morningconsult
blog_do_almeida,bbclondon,"('countries', 'damage')",morningconsult
fabiodearaujo.7,bbclondon,"('damage', 'worse')",morningconsult
blog_do_almeida,bbclondon,"('worse', 'europe')",morningconsult
endireitemos,bbclondon,"('europe', 'adults')",morningconsult
zewilliam.fotografo,bbclondon,"('adults', 'france')",morningconsult
endireitemos,bbclondon,"('france', 'germany')",morningconsult
ze._william,bbclondon,"('germany', 'italy')",morningconsult
zewilliam.fotografo,bbclondon,"('italy', 'spain')",morningconsult
endireitemos,bbclondon,"('spain', 'unfavorable')",morningconsult
blog_do_almeida,bbclondon,"('unfavorable', 'views')",morningconsult
ze._william,bbclondon,"('views', 'brazil')",morningconsult
blog_do_almeida,bbclondon,"('brazil', 'also')",morningconsult
milaborbamkt,bbclondon,"('also', 'saw')",morningconsult
rafael.motta.dir.penal,bbcnews,"('saw', 'point')",morningconsult
gonzaga_wg,BBCNews,"('point', 'rise')",morningconsult
lichting98,beeldfabriek010,"('rise', 'unfavorable')",morningconsult
rafabass25,bgarschagen,"('unfavorable', 'views')",morningconsult
rick_barretto,biakicis,"('views', 'united')",morningconsult
junior_damasceno,biakicis,"('united', 'kingdom')",morningconsult
junior_damasceno,biakicis,"('kingdom', 'link')",morningconsult
oposicaoferrenha,biakicis_,"('link', 'bio')",morningconsult
oposicaoferrenha,biakicis_,"('many', 'far')",tarajohn
oposicaoferrenha,biakicis_,"('far', 'right')",tarajohn
claudinhachan,blog_do_almeida,"('right', 'bolsonaro')",tarajohn
100narrativas,blog_do_almeida,"('bolsonaro', 'supporters')",tarajohn
leandrofrasaobassi,blog_do_almeida,"('supporters', 'enter')",tarajohn
