User_1,Mentions,Conative,User_2
maedenerdepet,7nn_tv,"('hold', 'accountable')",nfluenceus
maedenerdepet,7nnoticias,"('accountable', 'people')",nfluenceus
zewilliam.fotografo,abc7ny,"('people', 'makes')",nfluenceus
endireitemos,abc7ny,"('makes', 'easier')",nfluenceus
endireitemos,abc7ny,"('easier', 'hold')",nfluenceus
zewilliam.fotografo,abc7ny,"('hold', 'politicians')",nfluenceus
zewilliam.fotografo,abc7ny,"('politicians', 'accountable')",nfluenceus
zewilliam.fotografo,abc7ny,"('accountable', 'cant')",nfluenceus
endireitemos,abc7ny,"('cant', 'hold')",nfluenceus
endireitemos,abc7ny,"('hold', 'someone')",nfluenceus
endireitemos,abc7ny,"('someone', 'standard')",nfluenceus
zewilliam.fotografo,abc7ny,"('standard', 'youre')",nfluenceus
zewilliam.fotografo,abc7ny,"('youre', 'living')",nfluenceus
endireitemos,abc7ny,"('living', 'correct')",nfluenceus
endireitemos,abc7ny,"('correct', 'many')",nfluenceus
zewilliam.fotografo,abc7ny,"('many', 'parallels')",nfluenceus
endireitemos,abc7ny,"('parallels', 'brazil')",nfluenceus
zewilliam.fotografo,abc7ny,"('brazil', 'riots')",nfluenceus
leandro_zoo,abc7ny,"('riots', 'jan')",nfluenceus
maedenerdepet,abc7ny,"('jan', 'th')",nfluenceus
princysharon,abcnews,"('th', 'capitol')",nfluenceus
princysharon,aljazeeraenglish,"('capitol', 'attack')",nfluenceus
pauloavila1668,ap_adrianoleal,"('attack', 'america')",nfluenceus
gonzaga_wg,ASCnews,"('america', 'recap')",nfluenceus
zewilliam.fotografo,bbclondon,"('recap', 'stresses')",nfluenceus
endireitemos,bbclondon,"('stresses', 'importance')",nfluenceus
endireitemos,bbclondon,"('importance', 'accountability')",nfluenceus
zewilliam.fotografo,bbclondon,"('accountability', 'hosts')",nfluenceus
zewilliam.fotografo,bbclondon,"('hosts', 'high')",nfluenceus
zewilliam.fotografo,bbclondon,"('high', 'share')",nfluenceus
endireitemos,bbclondon,"('share', 'powerful')",nfluenceus
endireitemos,bbclondon,"('powerful', 'message')",nfluenceus
endireitemos,bbclondon,"('message', 'full')",nfluenceus
zewilliam.fotografo,bbclondon,"('full', 'episode')",nfluenceus
zewilliam.fotografo,bbclondon,"('episode', 'available')",nfluenceus
endireitemos,bbclondon,"('available', 'youtube')",nfluenceus
endireitemos,bbclondon,"('youtube', 'channel')",nfluenceus
zewilliam.fotografo,bbclondon,"('channel', 'bitlyzjhl')",nfluenceus
endireitemos,bbclondon,"('bitlyzjhl', 'listen')",nfluenceus
zewilliam.fotografo,bbclondon,"('listen', 'apple')",nfluenceus
leandro_zoo,bbclondon,"('apple', 'podcasts')",nfluenceus
maedenerdepet,bbclondon,"('podcasts', 'stream')",nfluenceus
gonzaga_wg,BBCNews,"('stream', 'three')",nfluenceus
princysharon,bloomberg,"('three', 'seasons')",nfluenceus
