User,Mentions,,,Conative,User
valentinirodrigo," 'canalhipocritas2.0', 'paulosouza.oficial' ",,,"('according', 'court')",risetv.global
valentinirodrigo," 'canalhipocritas2.0', 'marinhaoficial' ",,,"('court', 'statement')",risetv.global
geovaniandradeee," 'cbstv', 'nbcnews' ",,,"('statement', 'issued')",risetv.global
geovaniandradeee," 'cbsnews', 'cbstv' ",,,"('issued', 'thursday')",risetv.global
geovaniandradeee," 'abc7ny', 'cbsnews' ",,,"('thursday', 'brazils')",risetv.global
geovaniandradeee," 'abc7ny', 'foxtv' ",,,"('brazils', 'supreme')",risetv.global
geovaniandradeee," 'foxtv', 'nytimes' ",,,"('supreme', 'court')",risetv.global
geovaniandradeee," 'bbclondon', 'nytimes' ",,,"('court', 'expected')",risetv.global
conservadora.direita.br," 'conservadora.direita.br,', 'jairmessiasbolsonaro' ",,,"('expected', 'demand')",risetv.global
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('demand', 'government')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('government', 'revive')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('revive', 'billiondollar')",risetv.global
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('billiondollar', 'international')",risetv.global
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('international', 'fund')",risetv.global
conservadora.direita.br," 'conservadoradireitabr', 'jairmessiasbolsonaro' ",,,"('fund', 'aimed')",risetv.global
conservadora.direita.br," 'flaviobolsonaro', 'jairmessiasbolsonaro' ",,,"('aimed', 'conserving')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'flaviobolsonaro' ",,,"('conserving', 'amazon')",risetv.global
conservadora.direita.br," 'bolsonarosp', 'michellebolsonaro' ",,,"('amazon', 'rainforest')",risetv.global
conservadora.direita.br," 'carlosbolsonaro', 'michellebolsonaro' ",,,"('rainforest', 'country')",risetv.global
conservadora.direita.br," 'biakicis', 'carlosbolsonaro' ",,,"('country', 'faces')",risetv.global
antoniopereirajr.adv," 'anapaulavolei', 'silviawaiapi' ",,,"('faces', 'rampant')",risetv.global
antoniopereirajr.adv," 'anapaulavolei', 'cristinagraeml' ",,,"('rampant', 'deforestation')",risetv.global
antoniopereirajr.adv," 'augustonunesbrasil', 'cristinagraeml' ",,,"('deforestation', 'majority')",risetv.global
